,phoneme,accuracy
0,ah,59.2
1,b,57.7
2,r,21.7
3,iy,61.5
4,v,53.9
5,ey,51.4
6,t,18.7
7,ae,47.3
8,d,49.4
9,m,41.6
10,n,44.9
11,ay,54.8
12,z,60.6
13,ih,22.5
14,l,40.0
15,aa,49.8
16,sh,78.4
17,er,68.1
18,jh,62.3
19,aw,64.2
20,p,60.9
21,s,68.6
22,uw,47.9
23,k,45.8
24,eh,18.3
25,ng,71.5
26,y,57.4
27,ch,72.0
28,w,88.2
29,hh,47.0
30,uh,23.7
31,f,72.9
32,ow,51.1
33,g,56.8
34,dh,26.4
35,th,43.7
36,oy,78.7
