,phoneme,accuracy
0,ah,39.1
1,b,34.4
2,r,15.3
3,iy,44.9
4,v,36.8
5,ey,57.8
6,t,10.3
7,ae,41.2
8,d,32.9
9,m,53.7
10,n,27.0
11,ay,58.7
12,z,46.0
13,ih,32.8
14,l,31.2
15,aa,52.5
16,sh,57.3
17,er,53.3
18,jh,33.1
19,aw,59.3
20,p,50.1
21,s,63.1
22,uw,49.7
23,k,47.6
24,eh,29.1
25,ng,55.4
26,y,59.1
27,ch,55.9
28,w,68.2
29,hh,42.7
30,uh,27.6
31,f,49.7
32,ow,56.9
33,g,33.5
34,dh,29.0
35,th,34.3
36,oy,80.8
