,phoneme,accuracy
0,ah,66.8
1,b,36.3
2,r,23.4
3,iy,50.7
4,v,44.5
5,ey,54.1
6,t,17.2
7,ae,31.1
8,d,50.9
9,m,58.5
10,n,35.5
11,ay,61.3
12,z,60.0
13,ih,13.4
14,l,45.5
15,aa,52.9
16,sh,63.9
17,er,62.4
18,jh,46.3
19,aw,35.8
20,p,48.4
21,s,60.7
22,uw,34.3
23,k,52.3
24,eh,25.8
25,ng,64.1
26,y,52.1
27,ch,66.3
28,w,85.7
29,hh,44.0
30,uh,29.2
31,f,58.7
32,ow,47.8
33,g,49.4
34,dh,43.7
35,th,50.3
36,oy,80.2
