,phoneme,accuracy
0,ah,46.1
1,b,42.3
2,r,21.1
3,iy,50.3
4,v,45.0
5,ey,53.4
6,t,1.5
7,ae,14.2
8,d,46.9
9,m,56.9
10,n,17.3
11,ay,57.1
12,z,59.2
13,ih,27.2
14,l,38.6
15,aa,54.2
16,sh,58.8
17,er,65.2
18,jh,47.7
19,aw,56.2
20,p,44.7
21,s,55.8
22,uw,39.8
23,k,28.3
24,eh,36.9
25,ng,62.4
26,y,59.9
27,ch,59.8
28,w,81.2
29,hh,40.1
30,uh,31.2
31,f,60.6
32,ow,54.5
33,g,36.7
34,dh,35.4
35,th,35.8
36,oy,79.3
