,phoneme,accuracy
0,ah,54.7
1,b,16.6
2,r,18.0
3,iy,57.7
4,v,36.7
5,ey,57.7
6,t,12.2
7,ae,46.2
8,d,49.3
9,m,53.0
10,n,37.6
11,ay,61.1
12,z,55.6
13,ih,22.4
14,l,43.2
15,aa,45.6
16,sh,63.8
17,er,61.0
18,jh,41.2
19,aw,66.2
20,p,64.5
21,s,69.0
22,uw,44.9
23,k,52.8
24,eh,17.8
25,ng,62.3
26,y,53.3
27,ch,73.8
28,w,83.1
29,hh,44.0
30,uh,24.3
31,f,61.6
32,ow,59.4
33,g,55.1
34,dh,33.2
35,th,35.8
36,oy,79.6
