,phoneme,accuracy
0,ah,61.5
1,b,54.2
2,r,23.0
3,iy,62.9
4,v,60.1
5,ey,57.2
6,t,16.0
7,ae,54.0
8,d,54.0
9,m,50.5
10,n,35.8
11,ay,54.3
12,z,58.8
13,ih,29.9
14,l,41.7
15,aa,53.6
16,sh,80.4
17,er,62.4
18,jh,56.5
19,aw,63.4
20,p,68.3
21,s,71.9
22,uw,40.1
23,k,54.5
24,eh,5.6
25,ng,80.9
26,y,54.4
27,ch,69.4
28,w,86.6
29,hh,50.0
30,uh,18.8
31,f,71.6
32,ow,40.7
33,g,59.7
34,dh,16.6
35,th,46.7
36,oy,79.7
