,phoneme,accuracy
0,ah,52.2
1,b,46.8
2,r,23.0
3,iy,52.0
4,v,57.7
5,ey,55.6
6,t,14.7
7,ae,51.8
8,d,44.5
9,m,32.7
10,n,45.6
11,ay,59.6
12,z,58.8
13,ih,34.3
14,l,40.5
15,aa,53.1
16,sh,74.2
17,er,65.4
18,jh,60.4
19,aw,56.9
20,p,69.9
21,s,70.9
22,uw,35.7
23,k,53.9
24,eh,10.1
25,ng,77.9
26,y,55.8
27,ch,71.8
28,w,86.6
29,hh,47.6
30,uh,37.7
31,f,75.8
32,ow,48.6
33,g,65.9
34,dh,50.8
35,th,48.9
36,oy,78.7
