,phoneme,accuracy
0,ah,22.0
1,b,34.9
2,r,15.3
3,iy,43.4
4,v,22.1
5,ey,47.0
6,t,6.7
7,ae,24.7
8,d,36.9
9,m,52.5
10,n,32.4
11,ay,50.3
12,z,51.7
13,ih,15.7
14,l,33.6
15,aa,49.5
16,sh,49.9
17,er,62.9
18,jh,35.5
19,aw,49.0
20,p,25.2
21,s,49.0
22,uw,50.0
23,k,22.4
24,eh,39.2
25,ng,50.4
26,y,45.2
27,ch,60.4
28,w,62.8
29,hh,30.3
30,uh,22.9
31,f,47.2
32,ow,49.0
33,g,18.2
34,dh,35.0
35,th,35.2
36,oy,79.6
