,phoneme,accuracy
0,ah,61.5
1,b,43.4
2,r,20.1
3,iy,47.7
4,v,45.5
5,ey,57.2
6,t,11.4
7,ae,20.1
8,d,52.0
9,m,55.4
10,n,43.8
11,ay,59.5
12,z,59.5
13,ih,23.6
14,l,44.0
15,aa,49.7
16,sh,70.4
17,er,67.9
18,jh,37.8
19,aw,48.6
20,p,64.2
21,s,64.9
22,uw,31.4
23,k,51.1
24,eh,27.8
25,ng,66.8
26,y,72.1
27,ch,69.1
28,w,87.3
29,hh,48.3
30,uh,25.7
31,f,70.5
32,ow,49.3
33,g,57.2
34,dh,31.3
35,th,44.1
36,oy,77.4
