,phoneme,accuracy
0,ah,43.3
1,b,67.4
2,r,23.4
3,iy,49.0
4,v,47.7
5,ey,51.9
6,t,23.2
7,ae,49.7
8,d,54.2
9,m,55.4
10,n,33.9
11,ay,59.3
12,z,53.9
13,ih,12.8
14,l,49.7
15,aa,46.1
16,sh,72.5
17,er,76.0
18,jh,49.4
19,aw,56.1
20,p,35.6
21,s,67.2
22,uw,53.5
23,k,37.9
24,eh,22.4
25,ng,68.2
26,y,64.3
27,ch,59.7
28,w,81.5
29,hh,41.9
30,uh,42.9
31,f,76.5
32,ow,49.9
33,g,34.6
34,dh,17.0
35,th,40.4
36,oy,73.1
