,phoneme,accuracy
0,ah,38.9
1,b,51.8
2,r,23.9
3,iy,52.3
4,v,56.3
5,ey,55.2
6,t,5.5
7,ae,56.1
8,d,46.5
9,m,59.6
10,n,23.0
11,ay,55.9
12,z,60.8
13,ih,22.4
14,l,38.8
15,aa,49.2
16,sh,80.5
17,er,69.2
18,jh,46.1
19,aw,61.5
20,p,67.3
21,s,64.8
22,uw,38.8
23,k,53.7
24,eh,7.9
25,ng,71.5
26,y,69.5
27,ch,71.1
28,w,77.4
29,hh,43.9
30,uh,22.7
31,f,72.6
32,ow,52.4
33,g,52.7
34,dh,49.9
35,th,54.5
36,oy,81.8
