,phoneme,accuracy
0,ah,38.6
1,b,64.1
2,r,24.1
3,iy,41.9
4,v,44.7
5,ey,53.7
6,t,38.3
7,ae,56.0
8,d,48.6
9,m,50.3
10,n,38.5
11,ay,52.2
12,z,60.6
13,ih,26.3
14,l,41.5
15,aa,53.6
16,sh,70.3
17,er,73.0
18,jh,49.4
19,aw,60.8
20,p,61.3
21,s,66.9
22,uw,59.7
23,k,47.4
24,eh,17.0
25,ng,60.4
26,y,60.9
27,ch,64.8
28,w,75.5
29,hh,37.7
30,uh,6.8
31,f,75.2
32,ow,43.9
33,g,35.7
34,dh,18.1
35,th,44.5
36,oy,69.7
