,phoneme,accuracy
0,ah,33.4
1,b,51.6
2,r,22.4
3,iy,47.1
4,v,56.7
5,ey,56.2
6,t,23.5
7,ae,51.1
8,d,41.9
9,m,57.8
10,n,22.6
11,ay,55.5
12,z,63.1
13,ih,23.1
14,l,45.9
15,aa,51.1
16,sh,76.8
17,er,76.6
18,jh,48.0
19,aw,59.5
20,p,59.5
21,s,64.2
22,uw,46.1
23,k,56.5
24,eh,13.0
25,ng,75.3
26,y,65.9
27,ch,73.9
28,w,74.7
29,hh,49.1
30,uh,44.9
31,f,79.6
32,ow,57.9
33,g,61.7
34,dh,39.1
35,th,49.1
36,oy,86.1
