,phoneme,accuracy
0,ah,34.9
1,b,42.6
2,r,25.4
3,iy,49.7
4,v,31.9
5,ey,54.0
6,t,12.9
7,ae,48.5
8,d,39.4
9,m,46.1
10,n,23.9
11,ay,58.2
12,z,37.5
13,ih,24.7
14,l,38.3
15,aa,48.2
16,sh,52.7
17,er,57.5
18,jh,52.6
19,aw,58.7
20,p,36.6
21,s,67.4
22,uw,54.0
23,k,29.0
24,eh,31.6
25,ng,45.7
26,y,39.8
27,ch,48.3
28,w,72.3
29,hh,28.9
30,uh,50.3
31,f,43.6
32,ow,32.6
33,g,19.2
34,dh,40.3
35,th,53.3
36,oy,79.9
