,phoneme,accuracy
0,ah,23.9
1,b,33.3
2,r,30.3
3,iy,40.3
4,v,24.7
5,ey,54.4
6,t,21.9
7,ae,52.5
8,d,34.6
9,m,36.0
10,n,27.7
11,ay,64.4
12,z,54.9
13,ih,24.6
14,l,47.8
15,aa,48.3
16,sh,63.2
17,er,56.7
18,jh,49.0
19,aw,58.2
20,p,42.5
21,s,52.0
22,uw,47.4
23,k,24.3
24,eh,26.8
25,ng,41.0
26,y,49.3
27,ch,61.9
28,w,55.1
29,hh,29.5
30,uh,22.0
31,f,50.8
32,ow,44.8
33,g,26.9
34,dh,13.1
35,th,47.1
36,oy,74.0
