,phoneme,accuracy
0,ah,40.0
1,b,58.4
2,r,21.8
3,iy,43.0
4,v,56.1
5,ey,61.8
6,t,8.8
7,ae,54.1
8,d,42.2
9,m,57.0
10,n,25.1
11,ay,54.7
12,z,57.3
13,ih,15.5
14,l,39.2
15,aa,51.2
16,sh,79.3
17,er,71.3
18,jh,50.6
19,aw,62.4
20,p,60.9
21,s,66.1
22,uw,34.3
23,k,42.9
24,eh,12.3
25,ng,71.4
26,y,68.8
27,ch,70.6
28,w,77.3
29,hh,47.2
30,uh,31.2
31,f,77.5
32,ow,57.9
33,g,53.0
34,dh,48.8
35,th,44.4
36,oy,80.6
