,phoneme,accuracy
0,ah,28.6
1,b,54.5
2,r,21.0
3,iy,53.1
4,v,43.8
5,ey,55.6
6,t,46.1
7,ae,51.5
8,d,43.0
9,m,44.1
10,n,40.1
11,ay,63.4
12,z,53.7
13,ih,27.9
14,l,32.3
15,aa,53.2
16,sh,67.5
17,er,67.7
18,jh,49.4
19,aw,56.9
20,p,58.7
21,s,67.6
22,uw,51.3
23,k,33.9
24,eh,22.3
25,ng,62.2
26,y,60.6
27,ch,61.8
28,w,75.0
29,hh,37.3
30,uh,17.9
31,f,56.1
32,ow,57.8
33,g,33.5
34,dh,36.8
35,th,43.6
36,oy,84.5
