,phoneme,accuracy,accuracy_babble_0,accuracy_babble_10,accuracy_babble_20,accuracy_pink_10,accuracy_pink_20,accuracy_car_0,accuracy_car_10,accuracy_car_20,accuracy_ergodic,accuracy_babble_0_ergodic,accuracy_babble_10_ergodic,accuracy_babble_20_ergodic,accuracy_pink_10_ergodic,accuracy_pink_20_ergodic,accuracy_car_0_ergodic,accuracy_car_10_ergodic,accuracy_car_20_ergodic,sd,phoneme,phoneme class(1),phoneme class(2),timit class,height,backness,place,manner,type
6,t,14.7,6.7,1.5,17.2,10.3,12.2,11.4,18.7,16,23.5,21.9,25.1,38.3,12.9,46.1,23.2,8.8,5.5,11.2155471,t,ST,Plosive,Stop,,,alveolar/post-alveolar/dental,stop,consonants
4,v,57.7,22.1,45,44.5,36.8,36.7,45.5,53.9,60.1,56.7,24.7,37.5,44.7,31.9,43.8,47.7,56.1,56.3,11.27799205,v,WF,Fricative,Fricative,,,labio-dental,,consonants
34,dh,50.8,35,35.4,43.7,29,33.2,31.3,26.4,16.6,39.1,13.1,36,18.1,40.3,36.8,17,48.8,49.9,11.61490619,dh,WF,Fricative,Fricative,,,,,consonants
31,f,75.8,47.2,60.6,58.7,49.7,61.6,70.5,72.9,71.6,79.6,50.8,70.6,75.2,43.6,56.1,76.5,77.5,72.6,11.65171731,f,WF,Fricative,Fricative,,,labio-dental,fricative,consonants
30,uh,37.7,22.9,31.2,29.2,27.6,24.3,25.7,23.7,18.8,44.9,22,51.3,6.8,50.3,17.9,42.9,31.2,22.7,11.84912368,uh,VS,Vowel,Vowel,near-close,central-back,,,vowel
23,k,53.9,22.4,28.3,52.3,47.6,52.8,51.1,45.8,54.5,56.5,24.3,25,47.4,29,33.9,37.9,42.9,53.7,12.00799978,k,ST,Plosive,Stop,,,velar,stop,vowel
20,p,69.9,25.2,44.7,48.4,50.1,64.5,64.2,60.9,68.3,59.5,42.5,55.1,61.3,36.6,58.7,35.6,60.9,67.3,12.80268686,p,ST,Plosive,Stop,,,bilabial,stop,vowel
1,b,46.8,34.9,42.3,36.3,34.4,16.6,43.4,57.7,54.2,51.6,33.3,56.9,64.1,42.6,54.5,67.4,58.4,51.8,12.80900419,b,ST,Plosive,Stop,,,bilabial,stop,consonants
7,ae,51.8,24.7,14.2,31.1,41.2,46.2,20.1,47.3,54,51.1,52.5,51.3,56,48.5,51.5,49.7,54.1,56.1,12.95923725,ae,VS,Vowel,Vowel,vowel,front,,,consonants
0,ah,52.2,22,46.1,66.8,39.1,54.7,61.5,59.2,61.5,33.4,23.9,22.5,38.6,34.9,28.6,43.3,40,38.9,14.12884224,ah,VS,Vowel,Vowel,open,back,,,consonants
33,g,65.9,18.2,36.7,49.4,33.5,55.1,57.2,56.8,59.7,61.7,26.9,25.4,35.7,19.2,33.5,34.6,53,52.7,15.37939798,g,ST,Plosive,Stop,,,velar,stop,vowel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,VS,vowel/semi-vowel,,,,,,,
,,,,,,,,,,,,,,,,,,,,,NF,nasal/flap,,,,,,,
,,,,,,,,,,,,,,,,,,,,,SF,strong fricative,,,,,,,
,,,,,,,,,,,,,,,,,,,,,WF,weak fricative,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ST,stop,,,,,,,
